AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
JFK,New York J F Kennedy International Apt,212,0,255,141,34,0,0,21,13,21,5,2023-01-01,51,0000 - 0100,2024-08-05 10:10:53,58,24,157,58,A471,Terminal 4 (IAT),663,20,506,57
JFK,New York J F Kennedy International Apt,167,0,5,0,0,0,0,7,10,6,2,2023-01-01,2,0100 - 0200,2024-08-05 10:10:53,17,9,67,17,A471,Terminal 4 (IAT),178,6,111,17
JFK,New York J F Kennedy International Apt,199,0,25,0,0,0,0,9,4,6,2,2023-01-01,17,0200 - 0300,2024-08-05 10:10:53,25,12,74,25,A471,Terminal 4 (IAT),230,7,156,25
JFK,New York J F Kennedy International Apt,104,0,27,3,0,0,0,10,6,3,1,2023-01-01,8,0300 - 0400,2024-08-05 10:10:53,31,14,45,27,A471,Terminal 4 (IAT),137,7,92,31
JFK,New York J F Kennedy International Apt,261,39,156,78,93,208,61,44,12,31,5,2023-01-01,116,0400 - 0500,2024-08-05 10:10:53,156,61,283,156,A471,Terminal 4 (IAT),927,37,644,111
JFK,New York J F Kennedy International Apt,156,19,57,51,53,114,210,60,9,22,3,2023-01-01,141,0500 - 0600,2024-08-05 10:10:53,140,82,121,140,A471,Terminal 4 (IAT),682,55,561,118
JFK,New York J F Kennedy International Apt,70,0,64,123,92,168,11,45,11,17,2,2023-01-01,61,0600 - 0700,2024-08-05 10:10:53,97,56,170,97,A471,Terminal 4 (IAT),545,41,375,88
JFK,New York J F Kennedy International Apt,236,0,309,241,70,68,0,28,9,29,3,2023-01-01,136,0800 - 0900,2024-08-05 10:10:53,76,35,352,76,A471,Terminal 4 (IAT),953,24,601,75
JFK,New York J F Kennedy International Apt,21,0,29,55,23,2,0,33,5,3,1,2023-01-01,10,0900 - 1000,2024-08-05 10:10:53,61,41,53,61,A471,Terminal 4 (IAT),133,28,80,45
JFK,New York J F Kennedy International Apt,146,0,98,88,82,154,136,52,18,23,3,2023-01-01,79,1000 - 1100,2024-08-05 10:10:53,118,71,335,118,A471,Terminal 4 (IAT),727,37,392,104
