AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
MDW,Chicago Midway International Airport,66,0,42,0,0,0,0,13,4,0,1,2024-09-01,0,0800 - 0900,2024-09-09 00:00:00,27,15,70,27,A398,Main Terminal,108,9,38,27
MDW,Chicago Midway International Airport,75,0,67,0,0,0,0,14,4,3,1,2024-09-01,3,0900 - 1000,2024-09-09 00:00:00,27,15,63,26,A398,Main Terminal,145,13,82,27
MDW,Chicago Midway International Airport,29,0,0,0,0,0,0,1,5,1,1,2024-09-01,1,1200 - 1300,2024-09-09 00:00:00,7,1,25,7,A398,Main Terminal,30,0,5,2
MDW,Chicago Midway International Airport,47,0,0,0,0,0,0,3,4,1,1,2024-09-01,1,1600 - 1700,2024-09-09 00:00:00,8,3,18,8,A398,Main Terminal,48,3,30,8
MDW,Chicago Midway International Airport,139,0,0,0,0,0,0,3,4,4,1,2024-09-01,17,1800 - 1900,2024-09-09 00:00:00,13,8,3,8,A398,Main Terminal,143,3,140,13
MDW,Chicago Midway International Airport,82,0,78,5,0,0,0,14,4,3,1,2024-09-01,4,1900 - 2000,2024-09-09 00:00:00,32,14,67,32,A398,Main Terminal,168,15,101,32
MDW,Chicago Midway International Airport,90,0,42,0,0,0,0,9,4,5,2,2024-09-01,8,2100 - 2200,2024-09-09 00:00:00,26,11,59,26,A398,Main Terminal,137,8,78,24
MDW,Chicago Midway International Airport,154,0,118,18,0,0,0,14,4,8,2,2024-09-02,7,0900 - 1000,2024-09-10 00:00:00,37,17,120,37,A398,Main Terminal,298,12,178,32
MDW,Chicago Midway International Airport,26,0,0,0,0,0,0,5,3,0,1,2024-09-02,1,1000 - 1100,2024-09-10 00:00:00,10,6,17,10,A398,Main Terminal,26,3,9,8
MDW,Chicago Midway International Airport,51,0,38,29,22,0,0,24,3,5,1,2024-09-02,0,1100 - 1200,2024-09-10 00:00:00,53,31,87,53,A398,Main Terminal,145,13,58,48
MDW,Chicago Midway International Airport,4,0,0,0,0,0,0,0,1,2,1,2024-09-02,0,1200 - 1300,2024-09-10 00:00:00,1,0,0,0,A398,Main Terminal,6,0,6,1
MDW,Chicago Midway International Airport,76,0,56,26,0,0,0,16,3,5,1,2024-09-02,7,1300 - 1400,2024-09-10 00:00:00,39,22,50,39,A398,Main Terminal,163,13,113,37
MDW,Chicago Midway International Airport,67,0,0,0,0,0,0,3,4,2,1,2024-09-02,14,1600 - 1700,2024-09-10 00:00:00,10,4,28,10,A398,Main Terminal,69,3,41,10
MDW,Chicago Midway International Airport,140,0,0,0,0,0,0,2,3,4,1,2024-09-02,36,1800 - 1900,2024-09-10 00:00:00,9,4,1,4,A398,Main Terminal,144,2,143,9
MDW,Chicago Midway International Airport,68,0,77,24,0,0,0,18,3,5,1,2024-09-02,3,1900 - 2000,2024-09-10 00:00:00,40,23,77,40,A398,Main Terminal,174,14,97,34
MDW,Chicago Midway International Airport,80,0,76,61,8,0,0,22,4,6,2,2024-09-02,11,2100 - 2200,2024-09-10 00:00:00,48,25,80,48,A398,Main Terminal,231,21,151,48
MDW,Chicago Midway International Airport,120,0,67,12,0,0,0,12,3,6,2,2024-09-03,12,0900 - 1000,2024-09-11 00:00:00,33,13,94,33,A398,Main Terminal,205,12,111,32
MDW,Chicago Midway International Airport,36,0,0,0,0,0,0,0,5,1,1,2024-09-03,3,1600 - 1700,2024-09-11 00:00:00,3,0,22,3,A398,Main Terminal,37,0,15,3
MDW,Chicago Midway International Airport,171,0,0,0,0,0,0,2,4,6,1,2024-09-03,26,1700 - 1800,2024-09-11 00:00:00,9,5,5,9,A398,Main Terminal,177,2,172,9
MDW,Chicago Midway International Airport,210,0,95,0,0,0,0,11,4,6,2,2024-09-03,5,1900 - 2000,2024-09-11 00:00:00,29,15,111,29,A398,Main Terminal,311,9,200,29
MDW,Chicago Midway International Airport,115,0,52,0,0,0,0,10,4,3,2,2024-09-03,1,2100 - 2200,2024-09-11 00:00:00,28,14,75,28,A398,Main Terminal,170,6,95,28
