,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,4282332.45425014,4083451.7805184773,3884571.106786815,3685690.4330551527,3486809.7593234903,3287929.085591828,3090993.7650654297,2840993.7650654297,2590993.7650654297,2340993.7650654297,2090993.7650654295,1840993.7650654295,1588493.7650654295,1360585.296595063,1132676.8281246966,904768.3596543302,676859.8911839636,448951.422713597,0.0
1,4282839.039653541,4083958.3659218755,3885077.6921900273,3686197.0184440864,3487316.343614028,3288435.585387673,3091493.7650654297,2841493.7650654297,2591493.7650654297,2341493.7650654297,2091493.7650654295,1841493.7650654295,1588997.7652241967,1361089.2967538456,1133180.828285432,905272.3600610797,677363.9225873075,449459.3595340472,1000.0
2,4283352.065345046,4084471.391613364,3885590.7178804358,3686710.0440650852,3487829.3649559454,3288948.359117733,3091993.7650654297,2841993.7650654297,2591993.7650654297,2341993.7650654297,2091993.7650654295,1841993.7650654295,1589505.576499512,1361597.1080292496,1133688.6395701405,905780.1722856357,677871.8239305973,449974.79807514965,2000.0
3,4283871.376974117,4084990.703242372,3886110.0295057683,3687229.35548808,3488348.6659656814,3289467.176657005,3092493.7650654297,2842493.7650654297,2592493.7650654297,2342493.7650654297,2092493.7650654295,1842493.7650654295,1590017.0115786644,1362108.5431086966,1134200.0746761814,906291.6096347154,678383.4320223522,450497.31290851213,3000.0
4,4284396.811912489,4085516.138180559,3886635.464434451,3687754.789958214,3488874.0801739194,3289991.8046537843,3092993.7650654297,2842993.7650654297,2592993.7650654297,2342993.7650654297,2092993.7650654295,1842993.7650654295,1590531.8855593705,1362623.4170901503,1134714.9487167264,906806.4879559462,678898.582833657,451026.48935538204,4000.0
5,4284928.200225153,4086047.5264927754,3887166.852725928,3688286.177359393,3489405.433096355,3290522.007548982,3093493.7650654297,2843493.7650654297,2593493.7650654297,2343493.7650654297,2093493.7650654295,1843493.7650654295,1591050.0165764035,1363141.5481087402,1135233.0798426026,907324.625570658,679417.0289843695,451551.422713597,5000.0
6,4285432.45425014,4086551.7805184773,3887671.106786815,3688790.4330551527,3489909.7593234903,3291029.085591828,3093993.7650654297,2843993.7650654297,2593993.7650654297,2343993.7650654297,2093993.7650654295,1843993.7650654295,1591571.2263722366,1363662.757907293,1135754.2897986057,907845.8426092709,679938.3673260693,452051.422713597,6000.0
7,4285932.45425014,4087051.7805184773,3888171.106786815,3689290.4330551527,3490409.7593234903,3291529.085591828,3094493.7650654297,2844493.7650654297,2594493.7650654297,2344493.7650654297,2094493.7650654295,1844493.7650654295,1592093.7650654295,1364185.296595063,1136276.8281246966,908368.3596543302,680459.8911839636,452551.422713597,7000.0
8,4286432.45425014,4087551.7805184773,3888671.106786815,3689790.4330551527,3490909.7593234903,3292029.085591828,3094993.7650654297,2844993.7650654297,2594993.7650654297,2344993.7650654297,2094993.7650654295,1844993.7650654295,1592593.7650654295,1364685.296595063,1136776.8281246966,908868.3596543302,680959.8911839636,453051.422713597,8000.0
9,4286932.45425014,4088051.7805184773,3889171.106786815,3690290.4330551527,3491409.7593234903,3292529.085591828,3095493.7650654297,2845493.7650654297,2595493.7650654297,2345493.7650654297,2095493.7650654295,1845493.7650654295,1593093.7650654295,1365185.296595063,1137276.8281246966,909368.3596543302,681459.8911839636,453551.422713597,9000.0
